native_timeframe,direction_class,hypothesis,state,window_sec,horizon_sec,native_agreement,n,match_pct,signed_mean_bps,signed_median_bps
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,60,STALE,16,43.75,0.213230673125,0.0
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,180,MISSING,12,25.0,0.05165081250000001,-0.913988325
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,180,OPPOSITE_DIRECTION,3,0.0,-3.24593804,-3.3031737
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,180,SAME_DIRECTION,1,100.0,0.94817965,0.94817965
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,180,STALE,16,50.0,-0.5475605124999998,0.05464083
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,300,MISSING,12,66.66666666666667,0.12034577000000024,1.382666795
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,300,OPPOSITE_DIRECTION,3,0.0,-4.575466,-4.54964725
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,300,SAME_DIRECTION,1,100.0,0.79274036,0.79274036
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,300,STALE,16,37.5,-0.8490124075000001,-0.62401024
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,600,MISSING,12,66.66666666666667,1.287060715,1.974237975
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,600,OPPOSITE_DIRECTION,1,0.0,-0.18695345,-0.18695345
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,600,SAME_DIRECTION,1,100.0,0.63730108,0.63730108
10m,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,1800,600,STALE,16,43.75,-1.16956260625,-0.562478585
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,MISSING,67,34.32835820895522,-1.5467590579104475,-1.18860544
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,NATIVE_STALLED,2,100.0,2.55694195,2.55694195
10m,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,30,60,OPPOSITE_DIRECTION,46,41.30434782608695,-0.5485574363043478,-0.6260028200000001
