source_dataset,direction_class,hypothesis,state,horizon_sec,n,window_count,mfe_p25_bps,mfe_median_bps,mfe_p75_bps,mfe_p95_bps,mae_p05_bps,mae_p25_bps,mae_median_bps,mae_p75_bps,threshold_p25_bps,threshold_median_bps,threshold_p75_bps,reached_20usd_n,reached_20usd_pct
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,180,3050,6,0.01562585,1.4133273700000002,3.3619419975,7.860032740000001,-8.349142468,-3.6596071974999997,-1.3529941,-0.015620970000000001,3.107423635064168,3.1186408962973937,3.1228189061702216,840,27.540983606557376
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,300,3002,6,0.50199327,2.23586674,4.372582575,10.647408377,-10.61274132,-4.5605339775000004,-2.04698694,-0.33095999249999997,3.1073753554060564,3.118684663556299,3.1228189061702216,1217,40.539640239840104
NEW_05M,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,600,2852,6,1.2904432125,3.712662065,6.60166331,16.87011515449998,-15.82242111,-6.102338509999999,-3.06720029,-0.85990572,3.107515370547902,3.118738158541054,3.1230200540843276,1647,57.74894810659187
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,3302,6,0.2569383225,1.712526505,3.93291443,8.692488033999988,-8.08946134,-3.6333479599999996,-1.627866005,-0.01521188,3.0136866579571127,3.0273582364446128,3.036073870718596,1134,34.34282253179891
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,3272,6,1.06237669,3.32237794,6.907697557500001,15.163104634999996,-14.3684466025,-7.40600507,-3.71163757,-1.1129231275,3.013603784183555,3.0271749495218576,3.0360208696074578,1738,53.117359413202934
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,300,3247,6,1.560477225,4.37360952,8.76871275,20.189871712999977,-17.942736855,-9.659567805,-5.10600577,-2.0027603650000003,3.0135844854797464,3.0269229663239687,3.035981696110078,1953,60.147828765013855
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,600,3165,6,2.50347072,6.96939801,12.68414057,26.90926825599998,-24.9345761,-13.58652579,-7.53579503,-3.00261592,3.0135050227594973,3.0265107206576003,3.0359701746290044,2256,71.27962085308057
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,671,5,0.01521805,1.47469753,3.4577689649999996,7.940710665,-7.05637407,-3.47491447,-1.69867867,-0.015412655,3.014906451305378,3.0325130890846212,3.0414943470183955,193,28.763040238450074
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,652,5,0.9847648925,3.261326935,7.0707616125,12.599207669999998,-14.973193059499998,-6.661609425000001,-3.66852376,-1.4856109924999998,3.0146053875048957,3.0318671985449024,3.0413174378890626,344,52.760736196319016
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,636,5,1.58704019,4.4926068,9.160083145000002,15.557291602500001,-16.1269416875,-8.28660474,-4.464583494999999,-1.84338537,3.0146053875048957,3.031832727724746,3.0412411305699676,384,60.37735849056604
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,600,608,5,2.66495226,7.08585924,12.4112854,20.062718083999997,-24.741315475,-12.31023598,-7.2344363099999995,-3.1731035275,3.014171505177477,3.0315064512067376,3.041161358704934,440,72.36842105263158
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,60,2880,6,0.5058642375,2.0178833149999997,4.286513845,9.39095469099999,-8.2884145805,-3.8211846725000003,-1.62220795,-0.03043763,3.0125325118169988,3.023184804291531,3.0341600913889013,1081,37.53472222222222
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,180,2844,6,1.5120289425000002,3.8728667,7.53796594,15.3286646,-14.172878152,-7.3024261475,-3.783984085,-1.2751960675,3.012361224365854,3.023086556301676,3.0341508852893746,1654,58.157524613220815
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,300,2807,6,2.2303632899999997,5.27009623,10.47212665,18.64987622,-19.967679520999997,-9.5466336,-5.04780345,-2.01222653,3.012188822314474,3.023024868914084,3.0340174031238245,1925,68.5785536159601
OLD_1M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,600,2756,6,3.512687115,8.038786389999999,14.7584098875,26.57464106,-28.77694724,-13.352260385000001,-7.473207635,-3.1524753700000003,3.0119279878188623,3.0228969328176274,3.0338482659040165,2154,78.1567489114659
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,60,436,4,0.1364685875,2.1237519000000002,5.50637339,9.831850495,-7.8564813749999995,-3.9280892300000003,-1.770511865,-0.0151893775,3.004333751436447,3.018098025493038,3.032369406567528,177,40.596330275229356
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,180,432,4,1.8602968,5.200639455,8.7802664575,15.5270608,-13.124395767,-7.2741525875,-4.201271535,-1.3558260249999998,3.0042773430401257,3.0179682283411946,3.0322130957923674,271,62.73148148148148
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,300,417,4,2.51749053,5.87797506,10.66018047,21.531054114,-19.899908884000002,-9.5220911,-5.19265964,-2.51669761,3.0038374022814147,3.0171874080700714,3.0317270232988225,293,70.26378896882494
OLD_1M,ANALYSIS,TRAPPED_REVERSAL,SELL_TRAPPED,600,413,4,3.44109885,8.23625953,15.46194237,32.68745230999998,-28.203297528,-14.0076419,-7.39437096,-3.95613821,3.003702062792392,3.0161454264678826,3.03163051699911,317,76.75544794188862
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,60,2705,6,0.01517121,1.35031935,3.2416433,7.09771438,-7.705041893999999,-3.21753252,-1.44799656,-0.01520711,3.0153996459920815,3.0305463923618112,3.038119282639275,726,26.839186691312385
OLD_1M,ENTRY_PROBE,STALLED_PRESSURE_PROBE,BUY_STALLED,180,2672,6,0.96407611,3.16180777,6.12194726,14.068760253499985,-13.325986988,-6.57227318,-3.114605245,-1.0111667825,3.015350773882497,3.03049817602065,3.0377351254569964,1367,51.16017964071856
