source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,jst_hour,n,match_pct,flat_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,20,8,0.0,0.0,-2.49192549,-2.1859427499999997
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,21,36,16.666666666666668,0.0,-14.637189689444446,-10.65025112
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,22,53,41.509433962264154,0.0,-14.614850881886792,-13.97113666
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,23,96,44.791666666666664,0.0,-3.985711440312499,-1.308709315
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,0,32,59.375,0.0,1.5233045999999992,0.31192963500000004
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,1,40,50.0,0.0,-0.2728739415000002,0.04643973000000001
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,2,89,41.57303370786517,3.3707865168539324,-0.5729253026966291,-0.29339325
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,3,80,65.0,0.0,0.8854245940000004,0.721440695
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,4,44,38.63636363636363,2.272727272727273,-0.6344009340909094,-0.61122983
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,5,47,65.95744680851064,4.25531914893617,0.8489076634042555,0.38389484
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,6,34,64.70588235294117,0.0,0.8453097817647063,0.57942639
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,7,39,66.66666666666667,0.0,0.4635576592307692,1.1053286
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,8,17,23.529411764705884,0.0,-1.8145731582352942,-2.68480264
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,9,17,82.3529411764706,0.0,2.03888320882353,1.06441237
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,10,34,58.8235294117647,0.0,0.961768950294118,0.86844084
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,11,22,50.0,4.545454545454546,0.5898010177272728,0.238525025
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,12,32,75.0,3.125,1.8484013640625,0.936763395
