source_dataset,sample_scope,direction_class,hypothesis,state,window_sec,horizon_sec,n,match_n,mismatch_n,flat_n,match_pct,flat_pct,raw_mean_bps,raw_p05_bps,raw_p25_bps,raw_median_bps,raw_p75_bps,raw_p95_bps,signed_mean_bps,signed_p05_bps,signed_p25_bps,signed_median_bps,signed_p75_bps,signed_p95_bps
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,1800,60,42,13,28,1,30.952380952380953,2.380952380952381,-0.36927669119047624,-2.5557374605,-1.345020285,-0.16370043,0.1754046775,2.2752506579999987,-0.36927669119047624,-2.5557374605,-1.345020285,-0.16370043,0.1754046775,2.2752506579999987
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,1800,180,42,9,33,0,21.428571428571427,0.0,-1.4839310426190475,-5.2785587304999995,-2.9660257625,-2.33933357,-0.30399646,3.3172585414999984,-1.4839310426190475,-5.2785587304999995,-2.9660257625,-2.33933357,-0.30399646,3.3172585414999984
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,1800,300,42,21,21,0,50.0,0.0,-0.2157664469047618,-4.753502021,-3.07959859,-0.046772879999999996,1.5868947775,4.274373111999997,-0.2157664469047618,-4.753502021,-3.07959859,-0.046772879999999996,1.5868947775,4.274373111999997
NEW_05M,PRIMARY_CLEAN,ENTRY_PROBE,STALLED_REVERSAL_PROBE,SELL_STALLED,1800,600,42,12,30,0,28.571428571428573,0.0,-2.2131149380952384,-8.161498545,-3.5009059675,-1.255254605,0.44445447749999994,2.1698656124999975,-2.2131149380952384,-8.161498545,-3.5009059675,-1.255254605,0.44445447749999994,2.1698656124999975
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,60,1332,659,661,12,49.474474474474476,0.9009009009009009,0.028879464977477575,-6.691808074500001,-2.5952320575,0.0,2.57834624,7.012012373500005,0.028879464977477575,-6.691808074500001,-2.5952320575,0.0,2.57834624,7.012012373500005
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,180,1318,613,702,3,46.509863429438546,0.2276176024279211,-0.3288289395523521,-11.5095283575,-4.81084946,-0.56711024,3.6720368925000004,12.090750852499998,-0.3288289395523521,-11.5095283575,-4.81084946,-0.56711024,3.6720368925000004,12.090750852499998
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,300,1303,599,702,2,45.97083653108212,0.15349194167306215,-0.6394563635917119,-15.288622688999997,-6.0323373799999995,-0.69660345,4.15029996,15.463560752,-0.6394563635917119,-15.288622688999997,-6.0323373799999995,-0.69660345,4.15029996,15.463560752
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,30,600,1268,600,667,1,47.3186119873817,0.07886435331230283,-0.48005689145899055,-20.5632637575,-7.9586212199999995,-0.83696556,7.10452894,20.972065061999977,-0.48005689145899055,-20.5632637575,-7.9586212199999995,-0.83696556,7.10452894,20.972065061999977
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,60,1030,499,521,10,48.44660194174757,0.970873786407767,-0.0007044352233009813,-6.243714423,-2.5788269699999997,-0.02277285,2.347480625,6.871121915499996,-0.0007044352233009813,-6.243714423,-2.5788269699999997,-0.02277285,2.347480625,6.871121915499996
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,180,1019,475,539,5,46.61432777232581,0.49067713444553485,-0.06603078886162929,-9.881931863999998,-4.110772685000001,-0.51188553,3.3954655149999997,11.942341809999993,-0.06603078886162929,-9.881931863999998,-4.110772685000001,-0.51188553,3.3954655149999997,11.942341809999993
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,300,1012,477,533,2,47.134387351778656,0.1976284584980237,-0.10742872236166034,-12.8804607095,-5.0229287325000005,-0.362525075,4.3779943125,15.628151807999998,-0.10742872236166034,-12.8804607095,-5.0229287325000005,-0.362525075,4.3779943125,15.628151807999998
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,60,600,986,473,512,1,47.97160243407708,0.10141987829614604,0.014554389614604271,-18.010022697500002,-7.3186855,-0.49958287999999995,7.4213410625,19.907387885000002,0.014554389614604271,-18.010022697500002,-7.3186855,-0.49958287999999995,7.4213410625,19.907387885000002
OLD_1M,ALL_QUALITY_VALID,ANALYSIS,EFFECTIVE_CONTINUATION,BUY_EFFECTIVE,180,60,516,235,275,6,45.542635658914726,1.1627906976744187,-0.3034818611821701,-6.4912014075,-2.6618020849999997,-0.23467381,2.0875512350000003,6.2432119475,-0.3034818611821701,-6.4912014075,-2.6618020849999997,-0.23467381,2.0875512350000003,6.2432119475
