source_dataset,direction_class,hypothesis,state,window_sec,horizon_sec,oi_context,n,match_pct,signed_mean_bps,signed_median_bps
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,BUILDING,64,53.125,1.0562410187499998,0.48455316000000004
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,STALE,5,20.0,-1.75518766,-3.24460122
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,60,UNWINDING,55,52.72727272727273,0.7536994840000001,0.17179957
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,BUILDING,63,58.73015873015873,1.9563824696825385,2.42473351
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,STALE,5,0.0,-4.797712204000001,-1.31271947
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,180,UNWINDING,53,47.16981132075472,1.0476989135849057,-0.5938697
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,BUILDING,61,57.377049180327866,2.829039390491802,1.66595966
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,STALE,5,60.0,-3.383602744,3.40835342
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,300,UNWINDING,49,46.93877551020408,0.9289627444897954,-0.97919597
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,BUILDING,55,45.45454545454545,3.579710801272727,-1.63555988
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,STALE,5,60.0,-7.937274029999999,5.15143828
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,60,600,UNWINDING,46,65.21739130434783,6.5419817791304355,1.789739545
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,BUILDING,29,51.724137931034484,0.8875204944827587,0.07840665
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,STALE,3,66.66666666666667,0.41229669000000024,2.3656888
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,60,UNWINDING,31,35.483870967741936,-0.3996102245161291,-0.84465296
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,BUILDING,25,60.0,3.3098494524,1.31163933
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,STALE,3,33.333333333333336,-0.81649194,-0.03112748
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,180,UNWINDING,31,41.935483870967744,-1.1797066212903227,-1.52067192
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,BUILDING,23,65.21739130434783,3.2031124439130427,1.52050376
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,STALE,3,100.0,3.4640761233333333,2.78582312
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,300,UNWINDING,31,35.483870967741936,-0.3567601183870968,-0.73725697
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,BUILDING,21,42.857142857142854,3.2043480566666664,-0.15358624
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,STALE,3,100.0,10.438151233333334,5.16700154
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,180,600,UNWINDING,30,50.0,0.441398074666667,-0.18743383999999996
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,BUILDING,31,64.51612903225806,1.9211797606451608,1.3517146
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,STALE,1,100.0,1.86774207,1.86774207
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,60,UNWINDING,21,42.857142857142854,-0.23613918809523812,-0.35319573
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,180,BUILDING,28,75.0,5.1780376935714285,2.310510275
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,180,STALE,1,100.0,0.14008066,0.14008066
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,180,UNWINDING,21,28.571428571428573,-1.8658065133333335,-2.1196138
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,300,BUILDING,25,84.0,8.900180256799999,3.73611066
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,300,STALE,1,100.0,1.99225821,1.99225821
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,300,UNWINDING,21,23.80952380952381,-1.970228157142857,-2.16052885
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,600,BUILDING,22,59.09090909090909,7.6722847945454555,1.23214143
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,600,STALE,1,100.0,4.35806483,4.35806483
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,300,600,UNWINDING,21,19.047619047619047,-2.473761113333334,-3.54493595
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,60,BUILDING,2,0.0,-1.4980328699999998,-1.4980328699999998
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,60,UNWINDING,1,0.0,-3.82500152,-3.82500152
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,180,BUILDING,2,0.0,-9.58230608,-9.58230608
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,180,UNWINDING,1,0.0,-4.08933089,-4.08933089
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,300,BUILDING,2,0.0,-16.563051955,-16.563051955
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,300,UNWINDING,1,0.0,-3.07865976,-3.07865976
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,600,BUILDING,2,0.0,-32.59291762,-32.59291762
NEW_05M,ANALYSIS,TRAPPED_REVERSAL,BUY_TRAPPED,900,600,UNWINDING,1,0.0,-4.36920905,-4.36920905
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,60,BUILDING,421,54.86935866983373,0.2887968825890735,0.26433513
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,60,STALE,27,40.74074074074074,2.0869630151851846,-1.04510648
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,60,UNWINDING,358,55.58659217877095,0.3833159960055865,0.278306335
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,180,BUILDING,408,53.6764705882353,0.7745659076470589,0.379752895
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,180,STALE,24,54.166666666666664,4.72112333875,1.1410699
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,180,UNWINDING,344,58.43023255813954,1.3143894361046518,0.7267934
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,300,BUILDING,403,50.12406947890819,0.5945787412158806,0.01558788
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,300,STALE,24,45.833333333333336,1.7381290687499995,-2.03040063
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,300,UNWINDING,322,62.11180124223603,2.3545929115838513,1.6911919800000002
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,600,BUILDING,380,52.36842105263158,1.0778652471578956,0.663129045
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,600,STALE,23,26.08695652173913,-7.388706243478261,-8.70567788
NEW_05M,ANALYSIS,EFFECTIVE_CONTINUATION,SELL_EFFECTIVE,30,600,UNWINDING,311,54.662379421221864,1.7024513531189711,0.54686646
